"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","63831","Kampanyalarim sayfasinda kampanya kontrolu","","Thu Oct 24 21:19:05 TRT 2024","passed","Thu Oct 24 21:20:09 TRT 2024","","Kampanyalarim sayfasinda kampanya kontrolu","",""
"","75195","Meyve, Sebze Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:29:44 TRT 2024","passed","Thu Oct 24 21:30:59 TRT 2024","","Meyve, Sebze Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","65147","Login kullanici ile arama kutusuna makarna degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:26:34 TRT 2024","passed","Thu Oct 24 21:27:39 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","60923","Login kullanici ile arama kutusuna bebek bezi degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:30:41 TRT 2024","passed","Thu Oct 24 21:31:42 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","68754","Sepete eklenen urun sepet kartinden artirilir/azaltilir ve urun adedi kontrol edilir","","Thu Oct 24 21:24:31 TRT 2024","passed","Thu Oct 24 21:25:40 TRT 2024","","Sepete eklenen urun sepet kartinden artirilir/azaltilir ve urun adedi kontrol edilir","",""
"","43789","Email ile Login Senaryosu","","Thu Oct 24 21:20:35 TRT 2024","passed","Thu Oct 24 21:21:19 TRT 2024","","Email ile Login Senaryosu","",""
"","65809","Login kullanici ile arama kutusuna peçete degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:31:42 TRT 2024","passed","Thu Oct 24 21:32:48 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","115085","Bebek Dünyası Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:22:04 TRT 2024","passed","Thu Oct 24 21:24:00 TRT 2024","","Bebek Dünyası Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","89158","Gida,Sekerleme Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:20:35 TRT 2024","passed","Thu Oct 24 21:22:04 TRT 2024","","Gida,Sekerleme Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","86966","Ev, Yaşam Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:28:17 TRT 2024","passed","Thu Oct 24 21:29:44 TRT 2024","","Ev, Yaşam Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","71172","Dondurma Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:32:13 TRT 2024","passed","Thu Oct 24 21:33:24 TRT 2024","","Dondurma Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","47575","Arama kutusuna tiklaninca gelen kategorilerin uzerine hover olunur, sagda urunlerin geldigi kontrol edilir","","Thu Oct 24 21:20:36 TRT 2024","passed","Thu Oct 24 21:21:23 TRT 2024","","Arama kutusuna tiklaninca gelen kategorilerin uzerine hover olunur, sagda urunlerin geldigi kontrol edilir","",""
"","79895","Sepete bir urun eklenir ve ""sepeti temizle"" butonu ile silinir, sepetin temizlendigi kontrol edilir","","Thu Oct 24 21:20:35 TRT 2024","passed","Thu Oct 24 21:21:54 TRT 2024","","Sepete bir urun eklenir ve ""sepeti temizle"" butonu ile silinir, sepetin temizlendigi kontrol edilir","",""
"","80696","Kagit, Kozmetik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:25:36 TRT 2024","passed","Thu Oct 24 21:26:57 TRT 2024","","Kagit, Kozmetik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","59068","Profilim sayfasindaki ogeler kontrol edilir","","Thu Oct 24 21:18:57 TRT 2024","passed","Thu Oct 24 21:19:56 TRT 2024","","Profilim sayfasindaki ogeler kontrol edilir","",""
"","71288","CarrefourSA Ozel Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:38:21 TRT 2024","passed","Thu Oct 24 21:39:33 TRT 2024","","CarrefourSA Ozel Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","112517","PLP sayfasindaki checkboxlardan birine tiklanir ve uygulandigi gorulur","","Thu Oct 24 21:23:42 TRT 2024","passed","Thu Oct 24 21:25:34 TRT 2024","","PLP sayfasindaki checkboxlardan birine tiklanir ve uygulandigi gorulur","",""
"","117683","PLP sayfasindaki siralama olcutleri kontrol edilir","","Thu Oct 24 21:19:05 TRT 2024","passed","Thu Oct 24 21:21:03 TRT 2024","","PLP sayfasindaki siralama olcutleri kontrol edilir","",""
"","72525","Login kullanici ile arama kutusuna mouse degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:32:48 TRT 2024","passed","Thu Oct 24 21:34:00 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","96460","Temizlik,Deterjan Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:24:00 TRT 2024","passed","Thu Oct 24 21:25:36 TRT 2024","","Temizlik,Deterjan Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
